lot_size,loss_trigger,profit_target,year_end_net_profit,year_end_net_capital
0.01,50,50,-0.01,999.99
0.01,50,40,-0.01,999.99
0.02,25,50,-0.01,999.99
0.02,25,60,-0.01,999.99
0.01,45,100,-0.01,999.99
0.02,25,70,-0.01,999.99
0.02,40,90,-0.01,999.99
0.02,40,80,-0.01,999.99
0.02,40,70,-0.01,999.99
0.02,45,40,-0.01,999.99
0.02,40,60,-0.01,999.99
0.02,45,60,-0.01,999.99
0.02,40,50,-0.01,999.99
0.02,40,40,-0.01,999.99
0.02,40,20,-0.01,999.99
0.02,45,70,-0.01,999.99
0.02,35,100,-0.01,999.99
0.02,35,90,-0.01,999.99
0.02,45,80,-0.01,999.99
0.02,45,90,-0.01,999.99
0.02,45,100,-0.01,999.99
0.02,35,70,-0.01,999.99
0.02,35,50,-0.01,999.99
0.02,35,10,-0.01,999.99
0.02,30,100,-0.01,999.99
0.02,30,80,-0.01,999.99
0.02,30,70,-0.01,999.99
0.02,50,20,-0.01,999.99
0.02,30,50,-0.01,999.99
0.02,30,30,-0.01,999.99
0.02,30,10,-0.01,999.99
0.02,25,90,-0.01,999.99
0.02,25,80,-0.01,999.99
0.01,50,10,-0.01,999.99
0.01,45,90,-0.01,999.99
0.02,45,10,-0.01,999.99
0.01,20,100,-0.01,999.99
0.01,20,80,-0.01,999.99
0.01,20,50,-0.01,999.99
0.01,20,40,-0.01,999.99
0.01,5,20,-0.01,999.99
0.01,45,70,-0.01,999.99
0.01,20,10,-0.01,999.99
0.01,15,100,-0.01,999.99
0.01,15,60,-0.01,999.99
0.01,15,40,-0.01,999.99
0.01,15,30,-0.01,999.99
0.01,15,20,-0.01,999.99
0.01,10,60,-0.01,999.99
0.01,10,10,-0.01,999.99
0.01,5,100,-0.01,999.99
0.01,5,90,-0.01,999.99
0.01,5,80,-0.01,999.99
0.01,5,70,-0.01,999.99
0.01,5,60,-0.01,999.99
0.01,5,30,-0.01,999.99
0.01,20,90,-0.01,999.99
0.01,20,20,-0.01,999.99
0.01,25,20,-0.01,999.99
0.01,35,10,-0.01,999.99
0.01,45,50,-0.01,999.99
0.01,45,10,-0.01,999.99
0.01,40,100,-0.01,999.99
0.01,40,90,-0.01,999.99
0.01,40,70,-0.01,999.99
0.01,40,60,-0.01,999.99
0.01,40,20,-0.01,999.99
0.01,40,10,-0.01,999.99
0.01,25,30,-0.01,999.99
0.01,35,100,-0.01,999.99
0.01,35,90,-0.01,999.99
0.02,45,30,-0.01,999.99
0.01,25,60,-0.01,999.99
0.01,25,90,-0.01,999.99
0.01,30,10,-0.01,999.99
0.01,30,20,-0.01,999.99
0.01,30,90,-0.01,999.99
0.01,30,50,-0.01,999.99
0.01,30,70,-0.01,999.99
0.01,30,100,-0.01,999.99
0.03,45,70,-0.02,999.98
0.03,35,80,-0.02,999.98
0.03,35,40,-0.02,999.98
0.03,35,50,-0.02,999.98
0.03,50,60,-0.02,999.98
0.03,35,90,-0.02,999.98
0.03,40,30,-0.02,999.98
0.03,40,40,-0.02,999.98
0.03,40,90,-0.02,999.98
0.03,45,10,-0.02,999.98
0.03,45,20,-0.02,999.98
0.03,50,40,-0.02,999.98
0.03,45,50,-0.02,999.98
0.03,45,100,-0.02,999.98
0.03,45,90,-0.02,999.98
0.03,45,30,-0.02,999.98
0.03,30,20,-0.02,999.98
0.03,30,70,-0.02,999.98
0.03,25,30,-0.02,999.98
0.03,30,90,-0.02,999.98
0.03,20,50,-0.02,999.98
0.03,5,90,-0.02,999.98
0.03,5,40,-0.02,999.98
0.03,20,60,-0.02,999.98
0.03,30,80,-0.02,999.98
0.03,20,100,-0.02,999.98
0.03,25,10,-0.02,999.98
0.03,30,60,-0.02,999.98
0.03,30,40,-0.02,999.98
0.03,10,40,-0.02,999.98
0.03,10,30,-0.02,999.98
0.03,15,10,-0.02,999.98
0.03,15,30,-0.02,999.98
0.03,25,60,-0.02,999.98
0.03,25,70,-0.02,999.98
0.03,10,20,-0.02,999.98
0.03,15,40,-0.02,999.98
0.03,30,10,-0.02,999.98
0.03,25,100,-0.02,999.98
0.03,20,30,-0.02,999.98
0.03,30,30,-0.02,999.98
0.03,10,70,-0.02,999.98
0.03,5,50,-0.02,999.98
0.03,35,10,-0.02,999.98
0.03,15,100,-0.02,999.98
0.03,15,90,-0.02,999.98
0.03,5,80,-0.02,999.98
0.03,10,60,-0.02,999.98
0.04,35,100,-0.03,999.97
0.04,40,60,-0.03,999.97
0.05,45,100,-0.03,999.97
0.04,40,80,-0.03,999.97
0.04,10,30,-0.03,999.97
0.04,50,90,-0.03,999.97
0.05,5,30,-0.03,999.97
0.05,5,70,-0.03,999.97
0.04,35,80,-0.03,999.97
0.05,5,80,-0.03,999.97
0.04,5,60,-0.03,999.97
0.05,30,60,-0.03,999.97
0.05,5,90,-0.03,999.97
0.05,5,100,-0.03,999.97
0.04,35,60,-0.03,999.97
0.05,50,100,-0.03,999.97
0.04,35,40,-0.03,999.97
0.05,10,10,-0.03,999.97
0.04,10,20,-0.03,999.97
0.04,5,100,-0.03,999.97
0.05,30,70,-0.03,999.97
0.05,40,50,-0.03,999.97
0.04,45,40,-0.03,999.97
0.04,45,50,-0.03,999.97
0.04,45,20,-0.03,999.97
0.04,40,90,-0.03,999.97
0.04,50,10,-0.03,999.97
0.04,40,20,-0.03,999.97
0.05,50,40,-0.03,999.97
0.05,35,40,-0.03,999.97
0.04,50,20,-0.03,999.97
0.05,10,20,-0.03,999.97
0.04,5,80,-0.03,999.97
0.04,5,90,-0.03,999.97
0.05,50,10,-0.03,999.97
0.04,50,70,-0.03,999.97
0.04,40,30,-0.03,999.97
0.05,35,90,-0.03,999.97
0.04,50,80,-0.03,999.97
0.05,40,10,-0.03,999.97
0.04,5,20,-0.03,999.97
0.05,30,90,-0.03,999.97
0.05,25,30,-0.03,999.97
0.04,5,70,-0.03,999.97
0.05,30,50,-0.03,999.97
0.05,20,40,-0.03,999.97
0.05,20,60,-0.03,999.97
0.04,15,100,-0.03,999.97
0.05,25,100,-0.03,999.97
0.05,20,70,-0.03,999.97
0.04,20,10,-0.03,999.97
0.04,30,90,-0.03,999.97
0.04,20,30,-0.03,999.97
0.04,20,50,-0.03,999.97
0.04,30,80,-0.03,999.97
0.05,20,80,-0.03,999.97
0.05,40,100,-0.03,999.97
0.05,45,60,-0.03,999.97
0.05,20,90,-0.03,999.97
0.04,20,70,-0.03,999.97
0.04,30,70,-0.03,999.97
0.04,30,60,-0.03,999.97
0.04,25,70,-0.03,999.97
0.04,20,100,-0.03,999.97
0.04,25,20,-0.03,999.97
0.04,25,60,-0.03,999.97
0.05,45,50,-0.03,999.97
0.04,25,50,-0.03,999.97
0.05,45,10,-0.03,999.97
0.04,25,40,-0.03,999.97
0.05,25,20,-0.03,999.97
0.04,15,90,-0.03,999.97
0.05,25,50,-0.03,999.97
0.04,10,100,-0.03,999.97
0.05,10,40,-0.03,999.97
0.05,15,30,-0.03,999.97
0.05,25,90,-0.03,999.97
0.05,20,30,-0.03,999.97
0.05,10,60,-0.03,999.97
0.04,15,10,-0.03,999.97
0.05,45,90,-0.03,999.97
0.05,15,20,-0.03,999.97
0.04,35,30,-0.03,999.97
0.05,15,80,-0.03,999.97
0.04,10,50,-0.03,999.97
0.04,30,100,-0.03,999.97
0.05,40,90,-0.03,999.97
0.04,10,40,-0.03,999.97
0.04,15,50,-0.03,999.97
0.04,15,60,-0.03,999.97
0.05,15,100,-0.03,999.97
0.05,25,60,-0.03,999.97
0.06,30,80,-0.04,999.96
0.06,45,20,-0.04,999.96
0.06,30,20,-0.04,999.96
0.06,40,20,-0.04,999.96
0.06,45,10,-0.04,999.96
0.07,20,80,-0.04,999.96
0.06,35,60,-0.04,999.96
0.06,40,40,-0.04,999.96
0.06,45,90,-0.04,999.96
0.06,45,80,-0.04,999.96
0.06,35,40,-0.04,999.96
0.06,35,30,-0.04,999.96
0.06,45,50,-0.04,999.96
0.06,35,20,-0.04,999.96
0.06,40,90,-0.04,999.96
0.06,40,70,-0.04,999.96
0.06,40,80,-0.04,999.96
0.06,30,70,-0.04,999.96
0.06,20,60,-0.04,999.96
0.06,25,80,-0.04,999.96
0.06,25,70,-0.04,999.96
0.07,30,100,-0.04,999.96
0.07,35,10,-0.04,999.96
0.07,35,30,-0.04,999.96
0.07,35,40,-0.04,999.96
0.07,35,50,-0.04,999.96
0.07,15,40,-0.04,999.96
0.07,35,70,-0.04,999.96
0.07,15,30,-0.04,999.96
0.07,35,100,-0.04,999.96
0.07,40,10,-0.04,999.96
0.07,40,30,-0.04,999.96
0.07,10,80,-0.04,999.96
0.07,40,70,-0.04,999.96
0.07,10,70,-0.04,999.96
0.07,10,60,-0.04,999.96
0.07,30,90,-0.04,999.96
0.07,15,60,-0.04,999.96
0.07,30,70,-0.04,999.96
0.07,20,20,-0.04,999.96
0.07,20,90,-0.04,999.96
0.07,25,10,-0.04,999.96
0.07,25,20,-0.04,999.96
0.07,20,40,-0.04,999.96
0.07,20,30,-0.04,999.96
0.07,25,50,-0.04,999.96
0.07,25,70,-0.04,999.96
0.07,30,50,-0.04,999.96
0.07,25,80,-0.04,999.96
0.07,15,80,-0.04,999.96
0.07,15,70,-0.04,999.96
0.07,30,20,-0.04,999.96
0.07,30,30,-0.04,999.96
0.07,30,40,-0.04,999.96
